borocd,cb_email,cb_website,cd_full_title,cd_short_title,neighborhoods,son_issue_1,son_issue_2,son_issue_3,communityID,normalizedName,twitterName,youtubeChannelName,youtubeChannelURL,twitterHandle,dateCheckLast,status
317,bk17@cb.nyc.gov ,www.cb17brooklyn.org,Brooklyn Community District 17,Brooklyn CD 17,"East Flatbush, Farragut, Flatbush, Northeast Flatbush, Remsen Village, Rugby, Erasmus",Schools,Senior services,Street conditions (roadway maintenance),BCB17,Brooklyn Community District 17,,,,,,
318,bkbrd18@optonline.net,0,Brooklyn Community District 18,Brooklyn CD 18,"Bergen Beach, Canarsie, Flatlands, Georgetown, Marine Park, Mill Basin, Mill Island, Paerdegat Basin",Parks,Infrastructure resiliency,Street conditions (roadway maintenance),BCB18,Brooklyn Community District 18,,,,,,
401,Qn01@cb.nyc.gov,www1.nyc.gov/site/queenscb1/index.page,Queens Community District 1,Queens CD 1,"Astoria, Astoria Heights, Queensbridge, Dutch Kills, Long Island City, Ravenswood, Rikers Island (BX), Steinway",Affordable housing,Police-community relations,Other,QCB1,Queens Community District 1,"CB1, Queens",Community Board One Queens,https://www.youtube.com/channel/UCU7eHMXuvqtsAzGxvP6FXRQ,@Cb1Queens,9/6/2020,stale
402,qn02@cb.nyc.gov,www.nyc.gov/queenscb2,Queens Community District 2,Queens CD 2,"Blissville, Hunters Point, Long Island City, Sunnyside, Sunnyside Gardens, Woodside","Land use trends (zoning, development, neighborhood preservation, etc.)",Transit (buses & subways),Homelessness,QCB2,Queens Community District 2,,,,,9/6/2020,silent
403,communityboard3@nyc.rr.com,www.cb3qn.nyc.gov,Queens Community District 3,Queens CD 3,"East Elmhurst, Jackson Heights, North Corona",Affordable housing,Schools,Senior services,QCB3,Queens Community District 3,Queens Community Board 3,Queens Community Board 3 Virtual Meetings,https://www.youtube.com/channel/UCUD7E8dGGz0kGqAPOAL-cBQ,@communityboard3,9/6/2020,live
404,qn04@cb.nyc.gov,www1.nyc.gov/site/queenscb4/index.page,Queens Community District 4,Queens CD 4,"Corona, Corona Heights, Elmhurst, Lefrak City",Affordable housing,Schools,Social services,QCB4,Queens Community District 4,Queens Community Board 4,,,@QueensCB4,9/6/2020,silent
405,qnscb5@nyc.rr.com,www.nyc.gov/qnscb5,Queens Community District 5,Queens CD 5,"Glendale, Maspeth, Middle Village, Ridgewood",Emergency response,Street flooding,Traffic,QCB5,Queens Community District 5,,CB5 Queens,https://www.youtube.com/channel/UC51mApBs4KUp4T8avIhyAnw,,9/6/2020,live
406,qn06@cb.nyc.gov,www1.nyc.gov/site/queenscb6/index.page,Queens Community District 6,Queens CD 6,"Forest Hills, Forest Hills Gardens, Rego Park",Schools,Senior services,Transit (buses & subways),QCB6,Queens Community District 6,Queens Community Board 6,,,@QueensCB6,,
407,qn07@cb.nyc.gov,www.nyc.gov/queenscb7,Queens Community District 7,Queens CD 7,"Auburndale, Bay Terrace, Beechhurst, Clearview, College Point, Downtown Flushing, East Flushing, Flushing, Malba, Murray Hill, Queensboro Hill, Waldheim, Whitestone",Street conditions (roadway maintenance),Street flooding,Traffic,QCB7,Queens Community District 7,Community Board 7 Queens,,,@CB7queens,,
408,qn08@cb.nyc.gov ,www1.nyc.gov/site/queenscb8/index.page,Queens Community District 8,Queens CD 8,"Briarwood, Fresh Meadows, Hillcrest, Holliswood, Jamaica, Jamaica Estates, Jamaica Hills, Kew Gardens Hills, Pomonok, Utopia",Parks,Street conditions (roadway maintenance),Street flooding,QCB8,Queens Community District 8,,,,,,
409,qn09@cb.nyc.gov,www1.nyc.gov/site/queenscb9/index.page,Queens Community District 9,Queens CD 9,"Kew Gardens, Ozone Park, Richmond Hill, Woodhaven","Quality of life issues (noise, graffiti, petty crime, etc.)",Schools,Senior services,QCB9,Queens Community District 9,Community Board 9,,,@QueensCB9,,
410,cb10qns@nyc.rr.com,www.nyc.gov/html/qnscb10,Queens Community District 10,Queens CD 10,"Howard Beach, Lindenwood, Old Howard Beach, Ozone Park, South Ozone Park","Quality of life issues (noise, graffiti, petty crime, etc.)",Infrastructure resiliency,Street conditions (roadway maintenance),QCB10,Queens Community District 10,,,,,,
411,QN11@cb.nyc.gov,www.nyc.gov/queenscb11,Queens Community District 11,Queens CD 11,"Auburndale, Bayside, Douglaston, Hollis Hills, Little Neck, Oakland Gardens",Parks,"Quality of life issues (noise, graffiti, petty crime, etc.)",Street conditions (roadway maintenance),QCB11,Queens Community District 11,CB11Queens,,,@CB11Q,,
412,qn12@cb.nyc.gov,www.nyc.gov/qcb12,Queens Community District 12,Queens CD 12,"Hollis, Jamaica, Jamaica Center, North Springfield Gardens, Rochdale, South Jamaica, St. Albans",Schools,Senior services,Street flooding,QCB12,Queens Community District 12,,,,,,
413,info@qcb13.org,www1.nyc.gov/site/queenscb13/index.page,Queens Community District 13,Queens CD 13,"Bellaire, Bellerose, Brookville, Cambria Heights, Floral Park, Glen Oaks, Laurelton, New Hyde Park, Queens Village, Rosedale, Springfield Gardens",Parks,Street conditions (roadway maintenance),Traffic,QCB13,Queens Community District 13,,Queens Community Board Thirteen,https://www.youtube.com/channel/UCJCDtUPPmvg26tbnKbmL19Q,,9/6/2020,live
414,cbrock14@nyc.rr.com,www1.nyc.gov/site/queenscb14/index.page,Queens Community District 14,Queens CD 14,"Arverne, Bayswater, Belle Harbor, Breezy Point, Broad Channel, Edgemere, Far Rockaway, Hammels, Neponsit, Rockaway Park, The Rockaways, Roxbury, Seaside, Somerville",Infrastructure resiliency,Transit (buses & subways),Unemployment,QCB14,Queens Community District 14,,,,,,
501,Sicb1@si.rr.com,www1.nyc.gov/site/statenislandcb1/index.page,Staten Island Community District 1,Staten Island CD 1,"Arlington, Castleton Corners, Clifton, Elm Park, Fox Hills, Graniteville, Grymes Hill, Howland Hook, Livingston, Mariner's Harbor, New Brighton, Old Place, Park Hill, Port Ivory, Port Richmond, Randall Manor, Rosebank, Shore Acres, Silver Lake, St. George, Stapleton, Sunnyside, Tompkinsville, Ward Hill, West Brighton, West New Brighton, Westerliegh, Willowbrook","Land use trends (zoning, development, neighborhood preservation, etc.)",Traffic,Transit (buses & subways),SCB1,Staten Island Community District 1,,,,,,
502,dderrico@cb.nyc.gov,www.cb2si.com/,Staten Island Community District 2,Staten Island CD 2,"Arrochar, Bloomfield, Bulls Head, Chelsea, Concord, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, Heartland Village, Lighthouse Hill, Manor Heights, Midland Beach, New Dorp, New Dorp Beach, New Springville, Old Town, South Beach, Todt Hill, Travis, Willowbrook",Infrastructure resiliency,Schools,Traffic,SCB2,Staten Island Community District 2,,CB2 Staten Island,https://www.youtube.com/channel/UCyEZl1b4GuZ2zrJosoocsIw,,9/6/2020,stale
503,sicb3@cb.nyc.gov,www1.nyc.gov/site/statenislandcb3/index.page,Staten Island Community District 3,Staten Island CD 3,"Annadale, Arden Heights, Bay Terrace, Butler Manor, Charleston, Eltingville, Fresh Kills, Great Kills, Greenridge, Huguenot, Oakwood, Oakwood Beach, Oakwood Heights, Pleasant Plains, Prince's Bay, Richmond Town, Richmond Valley, Rossville, Sandy Ground, Tottenville, Woodrow","Land use trends (zoning, development, neighborhood preservation, etc.)",Street conditions (roadway maintenance),Traffic,SCB3,Staten Island Community District 3,,,,,,
